Id,Label,Lat,Lon
AT,Austria,47.516231,14.550072
BE,Belgium,50.503887,4.469936
BG,Bulgaria,42.733883,25.48583
BY,Belarus,53.709807,27.953389
CH,Switzerland,46.818188,8.227512
CY,Cyprus,35.126413,33.429859
CZ,Czech Republic,49.817492,15.472962
DE,Germany,51.165691,10.451526
DK,Denmark,56.26392,9.501785
EE,Estonia,58.595272,25.013607
ES,Spain,40.463667,-3.74922
FI,Finland,61.92411,25.748151
FR,France,46.227638,2.213749
GB,United Kingdom,55.378051,-3.435973
GR,Greece,39.074208,21.824312
HR,Croatia,45.1,15.2
HU,Hungary,47.162494,19.503304
IE,Ireland,53.41291,-8.24389
IT,Italy,41.87194,12.56738
LT,Lithuania,55.169438,23.881275
LU,Luxembourg,49.815273,6.129583
LV,Latvia,56.879635,24.603189
MD,Moldova,47.411631,28.369885
ME,Montenegro,42.708678,19.37439
MK,Macedonia [FYROM],41.608635,21.745275
MT,Malta,35.937496,14.375416
NL,Netherlands,52.132633,5.291266
NO,Norway,60.472024,8.468946
PL,Poland,51.919438,19.145136
PT,Portugal,39.399872,-8.224454
RO,Romania,45.943161,24.96676
RS,Serbia,44.016521,21.005859
RU,Russia,61.52401,105.318756
SE,Sweden,60.128161,18.643501
SI,Slovenia,46.151241,14.995463
SK,Slovakia,48.669026,19.699024
TR,Turkey,38.963745,35.243322
UA,Ukraine,48.379433,31.16558
AFR,Africa,15.454166,18.732207
NAM,America,37.09024,-95.712891
SAM,South America,-14.235004,-51.92528
ASI,Asia,35.86166,104.195397
OCE,Oceania,-0.789275,113.921327
